Factor: 225x² - 196,(15x - 14)(15x + 14)
Factor: 256x² - 169,(16x - 13)(16x + 13)
Factor: 289x² - 100,(17x - 10)(17x + 10)
Factor: 324x² - 49,(18x - 7)(18x + 7)
Factor: 400x² - 81,(20x - 9)(20x + 9)
Factor: 169x² - 196,(13x - 14)(13x + 14)
Factor: 225x² - 289,(15x - 17)(15x + 17)
Factor: 196x² - 225,(14x - 15)(14x + 15)
Factor: 361x² - 289y²,(19x - 17y)(19x + 17y)
Factor: 289x² - 4,(17x - 2)(17x + 2)
Factor: x⁶ - 49,(x³ - 7)(x³ + 7)
Factor: 4x⁶ - 25,(2x³ - 5)(2x³ + 5)
Factor: 9x⁶ - 1,(3x³ - 1)(3x³ + 1)
Factor: 16x⁶ - 9,(4x³ - 3)(4x³ + 3)
Factor: 25x⁶ - 4,(5x³ - 2)(5x³ + 2)
Factor: 25x²y⁴ - 36,(5xy² - 6)(5xy² + 6)
Factor: 49x⁴y² - 16,(7x²y - 4)(7x²y + 4)
Factor: 9x²y⁴ - 25,(3xy² - 5)(3xy² + 5)
Factor: 64x⁴y⁴ - 9,(8x²y² - 3)(8x²y² + 3)
Factor: 121x⁴y² - 49,(11x²y - 7)(11x²y + 7)
Factor: 9a²b⁴ - 121c²,(3ab² - 11c)(3ab² + 11c)
Factor: 25m⁴ - 49n⁶,(5m² - 7n³)(5m² + 7n³)
Factor: 144p²q⁴ - 169r²,(12pq² - 13r)(12pq² + 13r)
Factor: 225a²b² - 196c²d²,(15ab - 14cd)(15ab + 14cd)
Factor: x⁴y² - 36z⁴,(x²y - 6z²)(x²y + 6z²)
Factor: 49a⁴b⁶ - 64,(7a²b³ - 8)(7a²b³ + 8)
Factor: 81m⁶n² - 4p⁴,(9m³n - 2p²)(9m³n + 2p²)
Factor: 100a⁴b² - 121c⁶,(10a²b - 11c³)(10a²b + 11c³)
Factor: 4x⁶y⁴ - 81z²,(2x³y² - 9z)(2x³y² + 9z)
Factor: 36x⁶y² - 49,(6x³y - 7)(6x³y + 7)
Factor: 98x² - 72,2(7x - 6)(7x + 6)
Factor: 125x² - 45,5(5x - 3)(5x + 3)
Factor: 147x² - 48,3(7x - 4)(7x + 4)
Factor: 200x² - 18,2(10x - 3)(10x + 3)
Factor: 242x² - 32,2(11x - 4)(11x + 4)
Factor completely: 16x⁴ - 81,(2x - 3)(2x + 3)(4x² + 9)
Factor completely: 81x⁴ - 256,(3x - 4)(3x + 4)(9x² + 16)
Factor completely: 256x⁴ - 1,(4x - 1)(4x + 1)(16x² + 1)
Factor completely: 625x⁴ - 16,(5x - 2)(5x + 2)(25x² + 4)
Factor completely: x⁸ - 1,(x - 1)(x + 1)(x² + 1)(x⁴ + 1)
Factor completely: 625a⁴ - 256b⁴,(5a - 4b)(5a + 4b)(25a² + 16b²)
Factor completely: 2x⁴ - 162,2(x - 3)(x + 3)(x² + 9)
Factor completely: 3x⁴ - 48,3(x - 2)(x + 2)(x² + 4)
Factor completely: 5x⁴ - 5,5(x - 1)(x + 1)(x² + 1)
Factor completely: x⁸ - 256,(x - 2)(x + 2)(x² + 4)(x⁴ + 16)
Factor completely: 256x⁸ - 1,(2x - 1)(2x + 1)(4x² + 1)(16x⁴ + 1)
Factor completely: 4x⁴ - 324,4(x - 3)(x + 3)(x² + 9)
Factor completely: 2x⁴ - 32,2(x - 2)(x + 2)(x² + 4)
Factor completely: 7x⁴ - 7,7(x - 1)(x + 1)(x² + 1)
Factor completely: 3x⁴ - 243,3(x - 3)(x + 3)(x² + 9)
Factor by grouping: 6x³ + 9x² - 14x - 21,(3x² - 7)(2x + 3)
Factor by grouping: 10x³ + 15x² - 8x - 12,(5x² - 4)(2x + 3)
Factor by grouping: 12x³ - 8x² + 9x - 6,(4x² + 3)(3x - 2)
Factor by grouping: 15x³ + 20x² - 6x - 8,(5x² - 2)(3x + 4)
Factor by grouping: 14x³ - 21x² + 10x - 15,(7x² + 5)(2x - 3)
Factor by grouping: 8x³ + 12x² - 6x - 9,(4x² - 3)(2x + 3)
Factor by grouping: 18x³ - 12x² + 15x - 10,(6x² + 5)(3x - 2)
Factor by grouping: 20x³ + 25x² - 12x - 15,(5x² - 3)(4x + 5)
Factor by grouping: 21x³ - 14x² + 9x - 6,(7x² + 3)(3x - 2)
Factor by grouping: 16x³ + 24x² - 10x - 15,(8x² - 5)(2x + 3)
Factor by grouping: 6x³ - 15x² + 4x - 10,(3x² + 2)(2x - 5)
Factor by grouping: 10x³ - 25x² + 6x - 15,(5x² + 3)(2x - 5)
Factor by grouping: 12x³ + 18x² - 10x - 15,(6x² - 5)(2x + 3)
Factor by grouping: 14x³ + 35x² - 4x - 10,(7x² - 2)(2x + 5)
Factor by grouping: 15x³ - 10x² + 21x - 14,(5x² + 7)(3x - 2)
Factor by grouping: 8x³ - 20x² + 6x - 15,(4x² + 3)(2x - 5)
Factor by grouping: 20x³ - 15x² + 16x - 12,(5x² + 4)(4x - 3)
Factor by grouping: 24x³ + 16x² - 9x - 6,(8x² - 3)(3x + 2)
Factor by grouping: 21x³ + 28x² - 6x - 8,(7x² - 2)(3x + 4)
Factor by grouping: 6x³ + 9x²y - 14xy² - 21y³,(3x² - 7y²)(2x + 3y)
Factor by grouping: 10x³ + 15x²y - 8xy² - 12y³,(5x² - 4y²)(2x + 3y)
Factor by grouping: 12x³ - 8x²y + 9xy² - 6y³,(4x² + 3y²)(3x - 2y)
Factor by grouping: 15x³ + 20x²y - 6xy² - 8y³,(5x² - 2y²)(3x + 4y)
Factor by grouping: 14x³ - 21x²y + 10xy² - 15y³,(7x² + 5y²)(2x - 3y)
Factor by grouping: 8x³ + 12x²y - 6xy² - 9y³,(4x² - 3y²)(2x + 3y)
Factor by grouping: 18x³ - 12x²y + 15xy² - 10y³,(6x² + 5y²)(3x - 2y)
Factor by grouping: 20x³ + 25x²y - 12xy² - 15y³,(5x² - 3y²)(4x + 5y)
Factor by grouping: 24x³ - 16x²y + 9xy² - 6y³,(8x² + 3y²)(3x - 2y)
Factor by grouping: 21x³ + 14x²y - 9xy² - 6y³,(7x² - 3y²)(3x + 2y)
Factor by grouping: 6x³ - 9x²y - 14xy² + 21y³,(3x² - 7y²)(2x - 3y)
Factor by grouping: 10x³ - 15x²y - 8xy² + 12y³,(5x² - 4y²)(2x - 3y)
Factor by grouping: 12x³ + 8x²y - 9xy² - 6y³,(4x² - 3y²)(3x + 2y)
Factor by grouping: 15x³ - 20x²y + 6xy² - 8y³,(5x² + 2y²)(3x - 4y)
Factor by grouping: 14x³ + 21x²y - 10xy² - 15y³,(7x² - 5y²)(2x + 3y)
Factor by grouping: 8x³ - 12x²y + 6xy² - 9y³,(4x² + 3y²)(2x - 3y)
